RFC,RAZON SOCIAL,SUPUESTO,EJERCICIO,PERIODO,FECHA DE PRIMERA PUBLICACION
MTA8501016G6,MUNICIPIO DE TANCOCO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MTP850101EU1,MUNICIPIO DE TEOTLALCO PUEBLA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,1,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,2,23/07/2024
IMC080404CY7,INSTITUTO MUNICIPAL DE CULTURA FISICA Y DEPORTE DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,3,23/07/2024
